File.Name	Initials	Date	Well.Name	Well.Number	Biological.Replicate	Technical.Replicate	Background	Knockout	Overexpression	Temp	pH	Media	NaCl.Concentration	MgSO4.Concentration	KCl.Concentration	Arg.Concentration	Pyruvate.Concentration	Asp.Concentration	Glycerol.Concentration
ResultsKB201101271.csv	KB	201101271	x	141	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM2_ura3_3.1	142	3	1	Dura3	NA	NA	37	NA	CM	4.28	0.08	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM2_ura3_3.2	143	3	2	Dura3	NA	NA	37	NA	CM	4.28	0.08	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM2_ura3_3.3	144	3	3	Dura3	NA	NA	37	NA	CM	4.28	0.08	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM2_ura3_4.1	145	4	1	Dura3	NA	NA	37	NA	CM	4.28	0.08	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM2_ura3_4.2	146	4	2	Dura3	NA	NA	37	NA	CM	4.28	0.08	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM2_ura3_4.3	147	4	3	Dura3	NA	NA	37	NA	CM	4.28	0.08	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM2_NRC1_1.1	148	1	1	NRC1	NA	NA	37	NA	CM	4.28	0.08	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM2_NRC1_1.2	149	1	2	NRC1	NA	NA	37	NA	CM	4.28	0.08	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	151	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM2_NRC1_1.3	152	1	3	NRC1	NA	NA	37	NA	CM	4.28	0.08	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM2_NRC1_2.1	153	2	1	NRC1	NA	NA	37	NA	CM	4.28	0.08	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM2_NRC1_2.2	154	2	2	NRC1	NA	NA	37	NA	CM	4.28	0.08	0.03	NA	NA	NA	NA
